"Population by Educational Attainment","Number"
"Beginners",""
"Female","474"
"Male","535"
"Graduate and Equivalent",""
"Female","16"
"Male","89"
"Intermediate and Equivalent",""
"Female","155"
"Male","312"
"Level not Stated",""
"Female","31"
"Male","24"
"Lower Secondary (Class 6-8)",""
"Female","744"
"Male","1266"
"Non Formal Education",""
"Female","227"
"Male","221"
"Others",""
"Female","5"
"Male","6"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","28"
"Primary Education (1-5 Class)",""
"Female","2776"
"Male","3008"
"Secondary Level (Class 9-10)",""
"Female","380"
"Male","708"
"SLC and Equivalent",""
"Female","206"
"Male","441"
