"Population by Caste Ethinicity","Number"
"Badi",""
"Female","16"
"Male","16"
"","32"
"Bote",""
"Female","73"
"Male","85"
"","158"
"Brahman - Hill",""
"Female","1199"
"Male","920"
"","2119"
"Brahman - Tarai",""
"Female","12"
"Male","7"
"","19"
"Chamar/ Harijan/ Ram",""
"Female","24"
"Male","21"
"","45"
"Chhetri",""
"Female","1898"
"Male","1557"
"","3455"
"Dalit Others",""
"Female","56"
"Male","61"
"","117"
"Damai/Dholi",""
"Female","347"
"Male","317"
"","664"
"Dhobi",""
"Female","7"
"Male","8"
"","15"
"Dusadh/ Pasawan/ Pasi",""
"Female","23"
"Male","28"
"","51"
"Gharti/Bhujel",""
"Female","17"
"Male","11"
"","28"
"Gurung",""
"Female","84"
"Male","57"
"","141"
"Hajam/Thakur",""
"Female","12"
"Male","15"
"","27"
"Halwai",""
"Female","38"
"Male","34"
"","72"
"Kahar",""
"Female","14"
"Male","13"
"","27"
"Kami",""
"Female","700"
"Male","578"
"","1278"
"Kathabaniyan",""
"Female","40"
"Male","47"
"","87"
"Kumal",""
"Female","1682"
"Male","1528"
"","3210"
"Lodh",""
"Female","38"
"Male","46"
"","84"
"Magar",""
"Female","1761"
"Male","1463"
"","3224"
"Majhi",""
"Female","71"
"Male","61"
"","132"
"Musalman",""
"Female","607"
"Male","572"
"","1179"
"Newar",""
"Female","78"
"Male","75"
"","153"
"Others",""
"Female","31"
"Male","33"
"","64"
"Rai",""
"Female","10"
"Male","11"
"","21"
"Sanyasi/Dasnami",""
"Female","416"
"Male","317"
"","733"
"Sarki",""
"Female","284"
"Male","231"
"","515"
"Tamang",""
"Female","32"
"Male","16"
"","48"
"Teli",""
"Female","24"
"Male","41"
"","65"
"Terai Others",""
"Female","23"
"Male","10"
"","33"
"Thakuri",""
"Female","150"
"Male","103"
"","253"
"Tharu",""
"Female","8902"
"Male","8661"
"","17563"
"Yadav",""
"Female","1434"
"Male","1546"
"","2980"
