"Population by disability type","Number"
"Blind/low vision",""
"Female","118"
"Male","100"
"","218"
"Deaf/hard of hearing",""
"Female","100"
"Male","97"
"","197"
"Deaf-Blind",""
"Female","10"
"Male","8"
"","18"
"Intellectual disable",""
"Female","3"
"Male","14"
"","17"
"Mental disable",""
"Female","31"
"Male","36"
"","67"
"Multiple disable",""
"Female","43"
"Male","51"
"","94"
"No disability",""
"Female","19643"
"Male","17969"
"","37612"
"Physical",""
"Female","114"
"Male","154"
"","268"
"Speech problem",""
"Female","41"
"Male","60"
"","101"
