"Population by Single Year of Age","Number"
"0",""
"Female","121"
"Male","123"
"1",""
"Female","92"
"Male","108"
"10",""
"Female","127"
"Male","134"
"11",""
"Female","99"
"Male","111"
"12",""
"Female","167"
"Male","132"
"13",""
"Female","122"
"Male","100"
"14",""
"Female","105"
"Male","100"
"15",""
"Female","126"
"Male","109"
"16",""
"Female","107"
"Male","103"
"17",""
"Female","113"
"Male","88"
"18",""
"Female","122"
"Male","69"
"19",""
"Female","77"
"Male","47"
"2",""
"Female","108"
"Male","114"
"20",""
"Female","96"
"Male","59"
"21",""
"Female","68"
"Male","45"
"22",""
"Female","85"
"Male","40"
"23",""
"Female","65"
"Male","53"
"24",""
"Female","121"
"Male","69"
"25",""
"Female","90"
"Male","52"
"26",""
"Female","68"
"Male","40"
"27",""
"Female","57"
"Male","39"
"28",""
"Female","70"
"Male","39"
"29",""
"Female","41"
"Male","27"
"3",""
"Female","123"
"Male","105"
"30",""
"Female","88"
"Male","45"
"31",""
"Female","38"
"Male","16"
"32",""
"Female","48"
"Male","31"
"33",""
"Female","45"
"Male","17"
"34",""
"Female","36"
"Male","23"
"35",""
"Female","62"
"Male","51"
"36",""
"Female","123"
"Male","84"
"37",""
"Female","26"
"Male","40"
"38",""
"Female","46"
"Male","34"
"39",""
"Female","24"
"Male","36"
"4",""
"Female","96"
"Male","114"
"40",""
"Female","72"
"Male","53"
"41",""
"Female","32"
"Male","34"
"42",""
"Female","45"
"Male","42"
"43",""
"Female","30"
"Male","26"
"44",""
"Female","39"
"Male","35"
"45",""
"Female","89"
"Male","59"
"46",""
"Female","35"
"Male","32"
"47",""
"Female","30"
"Male","20"
"48",""
"Female","102"
"Male","97"
"49",""
"Female","38"
"Male","33"
"5",""
"Female","95"
"Male","121"
"50",""
"Female","66"
"Male","75"
"51",""
"Female","36"
"Male","28"
"52",""
"Female","41"
"Male","41"
"53",""
"Female","35"
"Male","30"
"54",""
"Female","19"
"Male","23"
"55",""
"Female","49"
"Male","49"
"56",""
"Female","29"
"Male","28"
"57",""
"Female","21"
"Male","22"
"58",""
"Female","40"
"Male","32"
"59",""
"Female","23"
"Male","20"
"6",""
"Female","107"
"Male","119"
"60",""
"Female","131"
"Male","138"
"61",""
"Female","15"
"Male","19"
"62",""
"Female","25"
"Male","27"
"63",""
"Female","17"
"Male","18"
"64",""
"Female","20"
"Male","12"
"65",""
"Female","60"
"Male","61"
"66",""
"Female","14"
"Male","19"
"67",""
"Female","26"
"Male","16"
"68",""
"Female","24"
"Male","30"
"69",""
"Female","21"
"Male","14"
"7",""
"Female","123"
"Male","99"
"70",""
"Female","49"
"Male","39"
"71",""
"Female","11"
"Male","20"
"72",""
"Female","73"
"Male","72"
"73",""
"Female","20"
"Male","23"
"74",""
"Female","17"
"Male","17"
"75",""
"Female","32"
"Male","38"
"76",""
"Female","12"
"Male","14"
"77",""
"Female","18"
"Male","11"
"78",""
"Female","11"
"Male","16"
"79",""
"Female","16"
"Male","17"
"8",""
"Female","93"
"Male","111"
"80",""
"Female","20"
"Male","17"
"81",""
"Female","8"
"Male","13"
"82",""
"Female","13"
"Male","8"
"83",""
"Female","7"
"Male","5"
"84",""
"Female","22"
"Male","24"
"85",""
"Female","11"
"Male","17"
"9",""
"Female","116"
"Male","131"
