"Population by disability type","Number"
"Blind/low vision",""
"Female","91"
"Male","48"
"","139"
"Deaf/hard of hearing",""
"Female","83"
"Male","72"
"","155"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","8"
"Male","13"
"","21"
"Mental disable",""
"Female","10"
"Male","11"
"","21"
"Multiple disable",""
"Female","25"
"Male","32"
"","57"
"No disability",""
"Female","9454"
"Male","7831"
"","17285"
"Physical",""
"Female","105"
"Male","145"
"","250"
"Speech problem",""
"Female","16"
"Male","37"
"","53"
