"Population by Educational Attainment","Number"
"Beginners",""
"Female","260"
"Male","245"
"","505"
"Graduate and Equivalent",""
"Female","6"
"Male","25"
"","31"
"Intermediate and Equivalent",""
"Female","60"
"Male","122"
"","182"
"Level not Stated",""
"Female","9"
"Male","5"
"","14"
"Lower Secondary (Class 6-8)",""
"Female","692"
"Male","920"
"","1612"
"Non Formal Education",""
"Female","655"
"Male","394"
"","1049"
"Others",""
"Female","6"
"Male","3"
"","9"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","2"
"","2"
"Primary Education (1-5 Class)",""
"Female","2763"
"Male","2928"
"","5691"
"Secondary Level (Class 9-10)",""
"Female","226"
"Male","328"
"","554"
"SLC and Equivalent",""
"Female","108"
"Male","180"
"","288"
