"Population by disability type","Number"
"Blind/low vision",""
"Female","99"
"Male","79"
"","178"
"Deaf/hard of hearing",""
"Female","62"
"Male","51"
"","113"
"Deaf-Blind",""
"Female","7"
"Male","11"
"","18"
"Intellectual disable",""
"Female","9"
"Male","13"
"","22"
"Mental disable",""
"Female","12"
"Male","29"
"","41"
"Multiple disable",""
"Female","20"
"Male","28"
"","48"
"No disability",""
"Female","12683"
"Male","11671"
"","24354"
"Physical",""
"Female","149"
"Male","204"
"","353"
"Speech problem",""
"Female","16"
"Male","23"
"","39"
