"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","9444"
"Male","7184"
"Brahman - Tarai",""
"Female","80"
"Male","52"
"Chhetri",""
"Female","633"
"Male","503"
"Damai/Dholi",""
"Female","499"
"Male","383"
"Gharti/Bhujel",""
"Female","278"
"Male","207"
"Gurung",""
"Female","282"
"Male","264"
"Hajam/Thakur",""
"Female","3"
"Male","8"
"Kami",""
"Female","1561"
"Male","1211"
"Kumal",""
"Female","6"
"Male","7"
"Magar",""
"Female","7430"
"Male","5708"
"Majhi",""
"Female","20"
"Male","20"
"Musalman",""
"Female","53"
"Male","76"
"Newar",""
"Female","642"
"Male","521"
"Others",""
"Female","53"
"Male","35"
"Sanyasi/Dasnami",""
"Female","7"
"Male","11"
"Sarki",""
"Female","280"
"Male","197"
"Tamang",""
"Female","12"
"Male","20"
"Terai Others",""
"Female","6"
"Male","8"
"Thakali",""
"Female","6"
"Male","6"
"Thakuri",""
"Female","21"
"Male","17"
"Tharu",""
"Female","18"
"Male","37"
