"Population by disability type","Number"
"Blind/low vision",""
"Female","93"
"Male","77"
"","170"
"Deaf/hard of hearing",""
"Female","86"
"Male","109"
"","195"
"Deaf-Blind",""
"Female","5"
"Male","10"
"","15"
"Intellectual disable",""
"Female","11"
"Male","12"
"","23"
"Mental disable",""
"Female","15"
"Male","31"
"","46"
"Multiple disable",""
"Female","21"
"Male","19"
"","40"
"No disability",""
"Female","8786"
"Male","7432"
"","16218"
"Physical",""
"Female","138"
"Male","158"
"","296"
"Speech problem",""
"Female","17"
"Male","46"
"","63"
