"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","48"
"","97"
"Deaf/hard of hearing",""
"Female","92"
"Male","124"
"","216"
"Deaf-Blind",""
"Female","8"
"Male","11"
"","19"
"Intellectual disable",""
"Female","9"
"Male","13"
"","22"
"Mental disable",""
"Female","9"
"Male","15"
"","24"
"Multiple disable",""
"Female","19"
"Male","19"
"","38"
"No disability",""
"Female","9530"
"Male","9830"
"","19360"
"Physical",""
"Female","96"
"Male","144"
"","240"
"Speech problem",""
"Female","23"
"Male","43"
"","66"
