"Population by Educational Attainment","Number"
"Beginners",""
"Female","189"
"Male","210"
"","399"
"Graduate and Equivalent",""
"Female","16"
"Male","132"
"","148"
"Intermediate and Equivalent",""
"Female","97"
"Male","423"
"","520"
"Level not Stated",""
"Female","31"
"Male","37"
"","68"
"Lower Secondary (Class 6-8)",""
"Female","722"
"Male","1255"
"","1977"
"Non Formal Education",""
"Female","58"
"Male","35"
"","93"
"Others",""
"Female","1"
"Male","11"
"","12"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","36"
"","40"
"Primary Education (1-5 Class)",""
"Female","2011"
"Male","2560"
"","4571"
"Secondary Level (Class 9-10)",""
"Female","289"
"Male","853"
"","1142"
"SLC and Equivalent",""
"Female","118"
"Male","527"
"","645"
