"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","59"
"Male","34"
"Brahman - Hill",""
"Female","2000"
"Male","1782"
"Brahman - Tarai",""
"Female","15"
"Male","22"
"Chhetri",""
"Female","3003"
"Male","2742"
"Dalit Others",""
"Female","188"
"Male","147"
"Damai/Dholi",""
"Female","592"
"Male","492"
"Gurung",""
"Female","19"
"Male","15"
"Kami",""
"Female","2443"
"Male","2087"
"Kewat",""
"Female","5"
"Male","6"
"Lohar",""
"Female","133"
"Male","114"
"Magar",""
"Female","350"
"Male","326"
"Musalman",""
"Female","55"
"Male","44"
"Newar",""
"Female","9"
"Male","8"
"Others",""
"Female","34"
"Male","33"
"Sanyasi/Dasnami",""
"Female","73"
"Male","67"
"Sarki",""
"Female","207"
"Male","162"
"Tatma/Tatwa",""
"Female","24"
"Male","16"
"Terai Others",""
"Female","12"
"Male","6"
"Thakuri",""
"Female","887"
"Male","791"
"Tharu",""
"Female","6915"
"Male","6748"
"Yadav",""
"Female","7"
"Male","11"
